stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
7110,Saint Felix & Walton,45.021943,-74.704765,0
7120,Anthony & Easton,45.024836,-74.691768,0
9901,Second & Cumberland,45.015784,-74.737414,0
9902,Campbell & Marleau South (Sigma),45.042235,-74.693223,0
9903,Service Canada,45.037092,-74.688941,0
9904,Second & Saint Peters,45.033757,-74.686931,0
9905,Cornwall Mini Storage,45.039078,-74.674277,0
9906,Boundary Rd. & Holy Trinity High School,45.044611,-74.675214,0
9907,Cornwall Gymnastics Club,45.041779,-74.67393,0
9908,Campbell & Second St.,45.034688,-74.686691,0
9909,MPIQC,45.036282,-74.688019,0
9910,Loyalist & Campbell,45.037392,-74.687875,0
9911,Loyalist & Education,45.040412,-74.680822,0
9912,Ridgewood,45.038195,-74.686039,0
9913,Leclerc,45.039302,-74.679594,0
9914,Marleau & Boundary (Southside),45.047416,-74.678787,0
9915,Marleau & Boundary (Northside),45.047569,-74.678853,0
9917,Olymel (Southside),45.051871,-74.687395,0
9918,RDC,45.060033,-74.691774,0
9900,Pitt & Second (Industrial Stop),45.018408,-74.728802,0
9919,Campbell & Marleau North (Sigma),45.043045,-74.693567,0
9920,Harmony,45.048443,-74.711454,0
6153,705 Cotton Mill,45.016562,-74.709198,0
10000,City Hall,45.020322,-74.72994,0
10001,Library,45.018823,-74.726989,0
10002,Time Square,45.017561,-74.731011,0
9921,Boundary Rd & Marleau (Mama Sues),45.048692,-74.678631,0
9922,Matrix (Westside),45.053841,-74.688044,0
9923,755 Campbell,45.039708,-74.691083,0
9924,Second & East Ridge Drive,45.037791,-74.677421,0
9925,Matrix (Eastside),45.053812,-74.687781,0
9926,SCM Way & Boundary,45.05805,-74.68732,0
9927,950 Boundary,45.05027,-74.67985,0
9928,Marleau & Education (Southside),45.04514,-74.68523,0
9929,Marleau & Education (Northside),45.04559,-74.68405,0
9930,210 Augustus,45.018134,-74.731225,0
9940,Second & East Ridge Drive (S/W Corner),45.03748,-74.678156,0
9950,Leclerc (Eastside),45.039367,-74.679377,0
9960,Ridgewood (Northside),45.038334,-74.686156,0
9980,Nick Kaneb & Marleau,45.036104,-74.708092,0
